id,lat,lon
OPP LOYANG WAY 4 / SOXAL,1.378520564,103.9787083
BEF NEW LOYANG LK,1.367251396,103.9683784
BLK 25,1.354974201,103.8368745
BLK 762,1.34940033,103.6973207
BLK 239,1.379235154,103.7475872
AFT ANG MO KIO IND PK 2,1.378719675,103.8685904
OPP COMFORT DRIVING CTR,1.336327651,103.8979067
AFT TPE,1.399776169,103.8724504
BLK 210,1.347557166,103.7124628
BCA ACAD,1.34355355,103.8587857
BLK 827,1.345724055,103.6928771
OPP PUNGGOL CC,1.374408634,103.8929128
SWANSON PLASTICS,1.301461859,103.752785
LIEN TWRS,1.310046946,103.8053552
AFT KIM YAM RD,1.295962585,103.8393892
AFT TAMPINES AVE 9,1.361418507,103.9307772
AFT WESTWOOD AVE,1.350540127,103.70115
OPP BLOXHOME DR,1.364160521,103.8610475
CLARIANT S'PORE,1.33189904,103.7163263
BLK 651,1.379464709,103.9382122
OPP HOUGANG G. SHOP MALL,1.379725893,103.8886511
BLK 354,1.36390574,103.8524096
YIO CHU KANG AMENITY CTR,1.375740305,103.8716517
AFT UPP THOMSON RD,1.402403366,103.816858
YONG NAM,1.293738826,103.6219215
AFT LORNIE WALK,1.337659518,103.819458
BEF BT BATOK EAST AVE 6,1.346418928,103.7669278
BLK 609,1.435914659,103.7960034
BLK 911,1.379116545,103.8832215
BLK 32,1.32338518,103.9251537
UPP EAST COAST TER,1.31776971,103.9526212
BLK 227,1.339732699,103.8580203
AFT CASHEW TERR,1.371207866,103.7667259
OPP BLK 695,1.343061104,103.7080535
OPP LUXE VILLE,1.289186496,103.7769186
OPP BLK 266,1.351713099,103.9506307
AFT TOH TUCK CRES,1.337293697,103.7644695
OPP BLK 71,1.296425908,103.7874688
BEF NAM LEONG CO PTE LTD,1.2972205,103.6662078
OPP ST. MARGARET'S SEC SCH,1.319380478,103.8105053
OPP COMFORT TEST CTR,1.336586572,103.8947468
BEF BLK 717,1.342520662,103.6971599
OPP CHANGI WOMEN'S PRISON,1.360490931,103.9704067
OPP BLK 241,1.356784961,103.8925788
BLK 913,1.378449065,103.8844616
BLK 857,1.348447285,103.6962462
BLK 741,1.430342207,103.8326441
KALLANG STN,1.311120319,103.8713451
BLK 604A,1.361500355,103.9348054
XINMIN PR SCH,1.370932736,103.8824512
NA,1.448503032,103.7849446
BLK 328,1.445912062,103.8196345
BLK 704,1.340549768,103.6952916
AFT YIO CHU KANG RD,1.362955506,103.8722525
AFT NEO TIEW RD,1.420774832,103.702914
OPP SANTA FE MANSIONS,1.300463743,103.8895053
BLK 82,1.323477241,103.8563286
OPP LABRADOR PK STN,1.273307077,103.8006702
OPP BLK 601C,1.361451315,103.9345237
THE REGENT S'PORE,1.304954837,103.8254661
OPP BLK 183,1.380547377,103.7627333
AFT BUGIS STN EXIT C,1.299521531,103.8550815
BLK 713,1.337411283,103.9225212
BLK 946A,1.374896845,103.8806163
BLK 140,1.351534088,103.743718
OPP BUGIS STN EXIT C,1.300122301,103.8551933
AFT YISHUN AVE 6,1.423299562,103.8512916
BLK 426,1.380833178,103.7387712
OPP KINGSWEAR AVE,1.367167476,103.8665396
OPP PREMIER MILK PTE LTD,1.330387834,103.7079725
AFT JURONG TOWN HALL RD,1.323883838,103.7429139
AFT JLN BUROH PERINDU,1.310734073,103.9192886
BLK 160,1.38718802,103.9084327
OPP BLK 945,1.351866661,103.9401593
OPP BLK 125,1.323265327,103.8811569
OPP BLK 5,1.33824514,103.8553766
OPP PACIFIC TECH CTR,1.285966325,103.8112841
OPP BLK 350,1.343625095,103.7310066
BLK 501,1.348222834,103.8493188
TG KATONG FLYOVER,1.296064556,103.8967464
SG BULOH WETLAND RESERVE,1.445133892,103.7298206
BLK 200B,1.386783964,103.8925616
BEF TUAS TER,1.343817951,103.6382932
AFT LOR 14 GEYLANG,1.310125296,103.8799085
OPP S.A. DEAF,1.306995778,103.8800478
BLK 131,1.345319519,103.8513134
BLK 424A CP,1.453359798,103.8192407
BEF ANG MO KIO AVE 1,1.364917299,103.8279533
BLK 640,1.375955315,103.9399131
OPP BLK 555,1.368374069,103.951682
AFT TOH CL,1.363427612,103.9699093
OPP BALESTIER PT,1.323018072,103.8526272
MAPLETREE BUSINESS CITY,1.274209954,103.7984935
BLK 242,1.351192409,103.7561695
BLK 232,1.358846017,103.8890257
BLK 532,1.374290646,103.8548655
OPP BLK 101,1.431290136,103.8265221
BLK 263,1.345214676,103.70656
BLK 442,1.368692209,103.95819
AFT TUAS CRES,1.318978577,103.6496906
OPP BLK 56,1.310798005,103.8831901
OPP S'PORE BIBLE COLLEGE,1.325364152,103.8139692
OPP ASIA IND GASES,1.303589973,103.6659025
S'GOON STN EXIT F,1.351073288,103.8708892
PB PACKAGING SYSTEMS,1.334102294,103.7145983
OPP BLK 507,1.431303625,103.7906228
BEF TUAS FLYOVER,1.324201718,103.6647502
AFT TG KLING RD,1.313855459,103.7020948
