id,lon,lat
Block 104 BT PURMEI RD Singapore,103.8257,1.27249
Block 104 CLEMENTI ST 14 Singapore,103.7692429,1.3229784
Block 104 GANGSA RD Singapore,103.7682,1.37873
Block 104 HENDERSON CRES Singapore,103.8214,1.289415
Block 104 HOUGANG AVE 1 Singapore,103.8903,1.354793
Block 104 JLN DUSUN Singapore,103.8442,1.328548
Block 104 JLN RAJAH Singapore,103.8532832,1.327917
Block 104 JURONG EAST ST 13 Singapore,103.7376509,1.3366371
Block 104 LENGKONG TIGA Singapore,103.9099169,1.325854
Block 104 PASIR RIS ST 12 Singapore,103.9588,1.367921
Block 104 POTONG PASIR AVE 1 Singapore,103.8692,1.334345
Block 104 RIVERVALE WALK Singapore,103.9007,1.382378
Block 104 SERANGOON NTH AVE 1 Singapore,103.871,1.370572
Block 104 SPOTTISWOODE PK RD Singapore,103.8349,1.27448
Block 104 TAMPINES ST 11 Singapore,103.9466,1.347249
Block 104 TECK WHYE LANE Singapore,103.7529,1.377044
Block 104 TOWNER RD Singapore,103.8608698,1.3198388
Block 104 WHAMPOA DR Singapore,103.8534,1.320964
Block 104 WOODLANDS ST 13 Singapore,103.7816,1.436451
Block 104A ANG MO KIO ST 11 Singapore,103.8389,1.371864
Block 104A DEPOT RD Singapore,103.8124,1.28045
Block 104A EDGEFIELD PLAINS Singapore,103.905,1.396791
Block 104B ANG MO KIO ST 11 Singapore,103.838,1.371613
Block 104B DEPOT RD Singapore,103.8120779,1.280525
Block 104B EDGEFIELD PLAINS Singapore,103.9054,1.396517
Block 105 ALJUNIED CRES Singapore,103.8827712,1.3195167
Block 105 ANG MO KIO AVE 4 Singapore,103.8376,1.372341
Block 105 BEDOK NTH AVE 4 Singapore,103.9366,1.333695
Block 105 BEDOK RESERVOIR RD Singapore,103.909188,1.3291336
Block 105 BISHAN ST 12 Singapore,103.8474,1.345813
Block 105 BT BATOK CTRL Singapore,103.7472,1.348625
Block 105 BT PURMEI RD Singapore,103.8248,1.272568
Block 105 CLEMENTI ST 12 Singapore,103.7699,1.322682
Block 105 GANGSA RD Singapore,103.7677,1.378274
Block 105 HENDERSON CRES Singapore,103.8225544,1.2901396
Block 105 JLN RAJAH Singapore,103.854,1.328592
Block 105 JURONG EAST ST 13 Singapore,103.7384,1.337292
Block 105 LENGKONG TIGA Singapore,103.9109,1.323308
Block 105 PASIR RIS ST 12 Singapore,103.9572,1.368527
Block 105 POTONG PASIR AVE 1 Singapore,103.8687748,1.3344885
Block 105 RIVERVALE WALK Singapore,103.9007,1.382197
Block 105 SERANGOON NTH AVE 1 Singapore,103.8701,1.370214
Block 105 SIMEI ST 1 Singapore,103.9505,1.341191
Block 105 TAMPINES ST 11 Singapore,103.9469,1.348016
Block 105 TECK WHYE LANE Singapore,103.7531,1.377646
Block 105 TOWNER RD Singapore,103.8611,1.320555
Block 105 WOODLANDS ST 13 Singapore,103.7816,1.436891
Block 105A EDGEFIELD PLAINS Singapore,103.9058,1.397103
Block 105B EDGEFIELD PLAINS Singapore,103.9062,1.397269
Block 105C EDGEFIELD PLAINS Singapore,103.9056,1.397623
Block 105D EDGEFIELD PLAINS Singapore,103.9053,1.397401
Block 106 ALJUNIED CRES Singapore,103.8829083,1.319113
Block 106 ANG MO KIO AVE 4 Singapore,103.8375,1.371972
Block 106 BEDOK NTH AVE 4 Singapore,103.9370129,1.334388
Block 106 BEDOK RESERVOIR RD Singapore,103.9095,1.329498
Block 106 BISHAN ST 12 Singapore,103.8478,1.346103
Block 106 BT BATOK CTRL Singapore,103.747,1.348188
Block 106 BT PURMEI RD Singapore,103.8257,1.273075
Block 106 GANGSA RD Singapore,103.7674,1.377983
Block 106 HENDERSON CRES Singapore,103.8223,1.289629
Block 106 HOUGANG AVE 1 Singapore,103.8909,1.353965
Block 106 JLN DUSUN Singapore,103.844134,1.328628
Block 106 JLN RAJAH Singapore,103.8547,1.328536
Block 106 JURONG EAST ST 13 Singapore,103.7376511,1.3372962
Block 106 LENGKONG TIGA Singapore,103.9109,1.323308
Block 106 PASIR RIS ST 12 Singapore,103.9579,1.367937
Block 106 POTONG PASIR AVE 1 Singapore,103.8680431,1.3341951
Block 106 RIVERVALE WALK Singapore,103.9001,1.382637
Block 106 SERANGOON NTH AVE 1 Singapore,103.8711,1.370187
Block 106 SIMEI ST 1 Singapore,103.9508595,1.3418998
Block 106 SPOTTISWOODE PK RD Singapore,103.8341,1.273608
Block 106 TAMPINES ST 11 Singapore,103.9477,1.347572
Block 106 TECK WHYE LANE Singapore,103.7529,1.377941
Block 106 TOWNER RD Singapore,103.861,1.321086
Block 106 WOODLANDS ST 13 Singapore,103.7823,1.43674
Block 106 YISHUN RING RD Singapore,103.8273,1.431509
Block 106A DEPOT RD Singapore,103.8111,1.280677
Block 106A PUNGGOL FIELD Singapore,103.9085,1.39673
Block 106B DEPOT RD Singapore,103.8107,1.280679
Block 106B PUNGGOL FIELD Singapore,103.9079,1.397249
Block 106C PUNGGOL FIELD Singapore,103.9075,1.397391
Block 106D PUNGGOL FIELD Singapore,103.9073,1.397602
Block 107 ALJUNIED CRES Singapore,103.8842226,1.3189217
Block 107 ANG MO KIO AVE 4 Singapore,103.8372,1.371417
Block 107 BEDOK NTH RD Singapore,103.9363784,1.3324161
Block 107 BEDOK RESERVOIR RD Singapore,103.9092,1.329865
Block 107 BISHAN ST 12 Singapore,103.848,1.346395
Block 107 BT BATOK WEST AVE 6 Singapore,103.7466,1.347813
Block 107 BT PURMEI RD Singapore,103.8246,1.273192
Block 107 GANGSA RD Singapore,103.7668,1.378225
Block 107 JLN BT MERAH Singapore,103.8248,1.279871
Block 107 JLN RAJAH Singapore,103.8551,1.32798
Block 107 JURONG EAST ST 13 Singapore,103.7379,1.337734
Block 107 LENGKONG TIGA Singapore,103.9108,1.323529
Block 107 LOR 1 TOA PAYOH Singapore,103.8474194,1.3412366
Block 107 PASIR RIS ST 12 Singapore,103.9575,1.36772
Block 107 POTONG PASIR AVE 1 Singapore,103.8684,1.334639
Block 107 RIVERVALE WALK Singapore,103.9003,1.383076
Block 107 SERANGOON NTH AVE 1 Singapore,103.8701,1.369848
Block 107 SIMEI ST 1 Singapore,103.9508822,1.3423571
Block 107 TAMPINES ST 11 Singapore,103.9481,1.348375
Block 107 TECK WHYE LANE Singapore,103.7537,1.377936
Block 107 TOWNER RD Singapore,103.8599869,1.3197561
Block 107 WOODLANDS ST 13 Singapore,103.7823,1.437327
Block 107 YISHUN RING RD Singapore,103.8276,1.432791
Block 107A EDGEFIELD PLAINS Singapore,103.9069,1.397341
Block 107B EDGEFIELD PLAINS Singapore,103.9072,1.396826
Block 107C EDGEFIELD PLAINS Singapore,103.9072,1.396885
Block 107D EDGEFIELD PLAINS Singapore,103.9079,1.396354
Block 108 ALJUNIED CRES Singapore,103.8853,1.319098
Block 108 ANG MO KIO AVE 4 Singapore,103.8382,1.370915
Block 108 BEDOK NTH RD Singapore,103.9362,1.33271
Block 108 BEDOK RESERVOIR RD Singapore,103.9093692,1.3302301
Block 108 BISHAN ST 12 Singapore,103.8474,1.346911
Block 108 BT BATOK WEST AVE 6 Singapore,103.7466,1.347456
Block 108 BT PURMEI RD Singapore,103.8254768,1.2734415
Block 108 C'WEALTH CRES Singapore,103.7992,1.307627
Block 108 GANGSA RD Singapore,103.7672,1.37771
Block 108 HOUGANG AVE 1 Singapore,103.8897,1.352868
Block 108 JLN BT MERAH Singapore,103.8257,1.279136
Block 108 JLN RAJAH Singapore,103.855501,1.3280958
Block 108 JURONG EAST ST 13 Singapore,103.737085,1.3382997
Block 108 LENGKONG TIGA Singapore,103.9101,1.324574
Block 108 LOR 1 TOA PAYOH Singapore,103.8473045,1.3415664
Block 108 MCNAIR RD Singapore,103.8596246,1.3215143
Block 108 PASIR RIS ST 12 Singapore,103.9572,1.367429
Block 108 POTONG PASIR AVE 1 Singapore,103.8678461,1.3350245
Block 108 RIVERVALE WALK Singapore,103.8999,1.382806
Block 108 SERANGOON NTH AVE 1 Singapore,103.871,1.369916
Block 108 SIMEI ST 1 Singapore,103.9510409,1.3430331
Block 108 TAMPINES ST 11 Singapore,103.9486,1.347859
Block 108 TECK WHYE LANE Singapore,103.7529,1.378375
