lon,lat,id
103.6813227,1.343092,96
103.6814935,1.3429252,97
103.6800372,1.3417755,98
103.6802081,1.3416087,99
103.6794801,1.3424817,100
103.6796346,1.3423278,101
103.6799939,1.3425825,102
103.6802434,1.3423342,103
103.6796424,1.3418093,104
103.6794036,1.3419987,105
103.6832191,1.3433207,106
103.6811923,1.347154,107
103.6811926,1.3469451,108
103.6829367,1.3469505,109
103.6829655,1.3462876,110
103.6829652,1.3460855,111
103.6830331,1.3463369,112
103.6805549,1.3456048,113
103.6805577,1.3458529,114
103.678849,1.3456217,115
103.6788517,1.3458697,116
103.6785993,1.3455694,117
103.6805052,1.345557,118
103.6805064,1.3450696,119
103.6787663,1.3451175,120
103.6785982,1.3452557,121
103.6794505,1.3448439,122
103.6796441,1.3442645,123
103.6790414,1.3441469,124
103.678867,1.3450522,125
103.6802141,1.3450377,126
103.6805569,1.3465088,127
103.6805569,1.3467171,128
103.6788287,1.3467293,129
103.6788287,1.3465179,130
103.6782062,1.3454267,131
103.6783095,1.3450467,132
103.6782278,1.344997,133
103.6781985,1.3450187,134
103.6780739,1.3453921,135
103.6833145,1.3494345,136
103.683948,1.3497856,137
103.6840288,1.3497864,138
103.6842564,1.349851,139
103.6844465,1.3498273,140
103.6846189,1.3497318,141
103.6847614,1.3495767,142
103.6839996,1.3489245,143
103.6834909,1.3487114,144
103.683364,1.3493026,145
103.6796695,1.3438629,146
103.680112,1.3443069,147
103.6799042,1.344536,148
103.6802997,1.3446034,149
103.6797952,1.3437358,150
103.6806959,1.3443342,151
103.681061,1.3447016,152
103.6812539,1.3447048,153
103.6809011,1.344333,154
103.7822433,1.2903352,155
103.7817819,1.2899706,156
103.7802691,1.2897024,157
103.7793179,1.2909521,158
103.7787675,1.2905066,159
103.7783862,1.2901891,160
103.7780572,1.2901162,161
103.7771932,1.2904034,162
103.7764483,1.2907075,163
103.7733812,1.2918583,164
103.7698355,1.2960217,165
103.7699802,1.2982082,166
103.7700553,1.2994739,167
103.7700875,1.3000424,168
103.7703235,1.3009326,169
103.7710489,1.3023286,170
103.7712569,1.302484,171
103.7715932,1.3025389,172
103.7718425,1.3025662,173
103.7724853,1.3027514,174
103.7727468,1.3027873,175
103.7735958,1.3025308,176
103.774894,1.3019194,177
103.7756665,1.3014797,178
103.7769894,1.3007375,179
103.7778122,1.3002783,180
103.7784452,1.2998815,181
103.7806661,1.2985622,182
103.7821893,1.2977188,183
103.7824712,1.2975578,184
103.7838275,1.2963819,185
103.7848114,1.2949729,186
103.7852182,1.2943435,187
103.7854631,1.2939464,188
103.7854576,1.2937652,189
103.7849046,1.2931121,190
103.784568,1.292745,191
103.7842494,1.2924571,192
103.7834586,1.2917659,193
103.7834058,1.2915243,194
103.7828883,1.2910097,195
103.7698891,1.2969763,196
103.7700255,1.2945132,197
103.7697979,1.2949007,198
103.7698383,1.2954271,199
103.6825839,1.3482809,200
103.6829524,1.348124,201
103.6821857,1.3479483,202
103.6824702,1.3479484,203
103.6816209,1.3468486,204
103.6825448,1.3468492,205
103.6811912,1.346761,206
103.6811881,1.346477,207
103.6814999,1.3467968,208
103.681495,1.3464286,209
103.682186,1.3472018,210
103.6824705,1.3472019,211
103.6816213,1.3463706,212
103.6825451,1.3463712,213
103.774271,1.3028808,214
103.7720247,1.309332,215
103.7737101,1.3083724,216
103.7716838,1.3049969,217
103.7719214,1.3043082,218
103.7745591,1.3046644,219
103.7751277,1.3041924,220
103.7735173,1.3073748,221
103.7715228,1.3060373,222
103.8490099,1.3840374,223
103.8497637,1.3850892,224
103.7699949,1.29275,225
103.7773857,1.3084683,226
103.7761773,1.3082549,227
103.7768415,1.3085451,228
103.7773188,1.3078367,229
103.7773818,1.3078512,230
103.7742824,1.3104691,231
103.7728068,1.3107774,232
103.7769055,1.3086764,233
103.7772882,1.3077489,234
103.7763327,1.3087427,235
103.7742517,1.3089604,236
103.7773346,1.3078695,237
103.7737493,1.3107753,238
103.6899803,1.3539254,239
103.6835177,1.349567,240
103.6836477,1.3490841,241
103.6785077,1.3449369,242
103.6843096,1.3493013,243
103.6835254,1.3494791,244
103.6836963,1.3487693,245
103.6840709,1.3491068,246
103.6836043,1.3495843,247
103.684558,1.3494378,248
103.6834562,1.3488709,249
103.6839177,1.3490745,250
103.6837012,1.3497051,251
103.6842007,1.3491953,252
103.6834937,1.3491713,253
103.6840356,1.3489955,254
103.6839394,1.3498081,255
103.6838311,1.3489808,256
103.6780587,1.3455824,257
103.6763691,1.3502044,258
103.6808194,1.3396615,259
103.6760636,1.3492586,260
103.6899717,1.3536083,261
103.6793396,1.3511611,262
103.6838782,1.341115,263
103.6786182,1.3437425,264
103.6764243,1.3474813,265
103.6882033,1.3445263,266
103.6789605,1.3420902,267
